titulo,autor,ano,isbn,disponivel,emprestado
Into The Pit,Scott Cawthon,2019,9786599876500,10,0
Fetch,Scott Cawthon,2020,9786599876501,10,0
Harry Potter e a Pedra Filosofal,JK Rowling,1997,9786599876502,10,0
Jujutsu Kaisen Vol. 2,Gege Akutami,2018,9786599876503,10,0
Jujutsu Kaisen Vol. 5,Gege Akutami,2018,9786599876504,10,0
Six Of Crows,Leigh Bardugo,2015,9786599876505,10,0
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,9786599876506,10,0
Silver Eyes,Scott Cawthon,2015,9786599876507,10,0
Chainsaw Man Vol. 24,Tatsuki Fujimoto,2026,9786599876508,10,0
Asas de Fogo,Tui T. Sutherland,2003,9786599876509,10,0
